MemberName,ParentName,Description,AccountType
TotalRevenue,,Total Revenue,Revenue
GrossRevenue,TotalRevenue,Gross Revenue,Revenue
REV_Domestic,GrossRevenue,Domestic Revenue,Revenue
REV_Domestic_Industrial,REV_Domestic,Domestic Industrial Revenue,Revenue
REV_Domestic_Consumer,REV_Domestic,Domestic Consumer Revenue,Revenue
REV_Domestic_Specialty,REV_Domestic,Domestic Specialty Revenue,Revenue
REV_Export,GrossRevenue,Export Revenue,Revenue
REV_Export_Industrial,REV_Export,Export Industrial Revenue,Revenue
REV_Export_Consumer,REV_Export,Export Consumer Revenue,Revenue
REV_Export_Specialty,REV_Export,Export Specialty Revenue,Revenue
REV_Intercompany,GrossRevenue,Intercompany Revenue,Revenue
REV_IC_TransferSales,REV_Intercompany,IC Transfer Sales,Revenue
REV_IC_ServiceRevenue,REV_Intercompany,IC Service Revenue,Revenue
REV_IC_RoyaltyIncome,REV_Intercompany,IC Royalty Income,Revenue
Deductions,TotalRevenue,Revenue Deductions,Revenue
REV_Discounts,Deductions,Trade Discounts,Revenue
REV_VolumeDiscounts,Deductions,Volume Discounts,Revenue
REV_EarlyPayDiscount,Deductions,Early Payment Discounts,Revenue
REV_Returns,Deductions,Sales Returns,Revenue
REV_Rebates,Deductions,Customer Rebates,Revenue
REV_Allowances,Deductions,Sales Allowances,Revenue
NetRevenue,TotalRevenue,Net Revenue (Calculated),Revenue
TotalCOGS,,Total Cost of Goods Sold,Expense
DirectMaterials,TotalCOGS,Direct Materials,Expense
RawMaterials,DirectMaterials,Raw Materials Consumed,Expense
RM_Steel,RawMaterials,Steel and Metal Alloys,Expense
RM_Aluminum,RawMaterials,Aluminum and Light Metals,Expense
RM_Polymers,RawMaterials,Polymers and Plastics,Expense
RM_Electronics,RawMaterials,Electronic Components,Expense
RM_Chemicals,RawMaterials,Chemicals and Solvents,Expense
Components,DirectMaterials,Purchased Components,Expense
COMP_Bearings,Components,Bearings and Bushings,Expense
COMP_Motors,Components,Motors and Drives,Expense
COMP_Sensors,Components,Sensors and Controls,Expense
COMP_Fasteners,Components,Fasteners and Hardware,Expense
COMP_Electrical,Components,Electrical Components,Expense
Packaging,DirectMaterials,Packaging Materials,Expense
PKG_Primary,Packaging,Primary Packaging,Expense
PKG_Secondary,Packaging,Secondary Packaging,Expense
PKG_Shipping,Packaging,Shipping and Crating,Expense
DirectLabor,TotalCOGS,Direct Labor,Expense
ProdLabor,DirectLabor,Production Labor,Expense
ProdLabor_Machining,ProdLabor,Machining Labor,Expense
ProdLabor_Assembly,ProdLabor,Assembly Labor,Expense
ProdLabor_Finishing,ProdLabor,Finishing Labor,Expense
ProdLabor_QualityInsp,ProdLabor,Quality Inspection Labor,Expense
OvertimeLabor,DirectLabor,Overtime Labor,Expense
OT_Scheduled,OvertimeLabor,Scheduled Overtime,Expense
OT_Unscheduled,OvertimeLabor,Unscheduled Overtime,Expense
ManufacturingOverhead,TotalCOGS,Manufacturing Overhead,Expense
MOH_Depreciation,ManufacturingOverhead,Factory Depreciation,Expense
MOH_Depr_Machinery,MOH_Depreciation,Machinery Depreciation,Expense
MOH_Depr_Building,MOH_Depreciation,Factory Building Depreciation,Expense
